freq,unit,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CLV20_EUR_HAB,B1GQ,AL	2120 	2330 	2440 	2580 	2730 	2880 	3080 	3300 	3550 	3680 	3800 	3910 	3950 	4030 	4130 	4230 	4400 	4550 	4730 	4850 	4710 	5190 	5500 	: 	: 	: 
A,CLV20_EUR_HAB,B1GQ,AT	37880 	38230 	38610 	38880 	39620 	40270 	41370 	42790 	43270 	41620 	42280 	43370 	43450 	43080 	43070 	43200 	43550 	44260 	45140 	45730 	42650 	44580 	46430 	45670 	45140 	45280 
A,CLV20_EUR_HAB,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 b	0 	0 	10 	10 	10 	10 	10 	10 	10 	: 
A,CLV20_EUR_HAB,B1GQ,BE	35370 	35640 	36080 	36300 	37440 	38100 	38810 	39950 	39810 	38740 b	39420 	39670 	39510 	39440 	39960 	40310 	40590 	41030 	41610 	42400 	40190 	42530 	43860 	44230 	44440 p	44670 p
A,CLV20_EUR_HAB,B1GQ,BG	4160 	4460 	4750 	5020 	5380 	5790 	6220 	6670 	7110 	6910 	7060 	7390 	7530 	7600 	7770 	8130 	8490 	8840 	9170 	9650 	9440 	10250 	10740 	10950 	11330 	11710 p
A,CLV20_EUR_HAB,B1GQ,CH	66030 	66750 	66530 	65860 	67120 	68690 	71090 	73260 	74230 	71980 	73760 	74140 	74160 	74650 	75620 	75780 	76410 	76770 	78760 	79070 	76710 	80850 	83000 	82440 	82650 	83000 
A,CLV20_EUR_HAB,B1GQ,CY	20500 	21080 	21610 	21910 	22710 	23470 	24170 	24870 	25140 	23980 	23890 	23390 	22280 	20830 	20490 	21140 	22410 	23500 	24690 	25790 	24630 	27030 	28730 	29200 	29820 p	30460 p
A,CLV20_EUR_HAB,B1GQ,CZ	13410 	13860 	14110 	14570 	15250 	16180 	17200 	18050 	18330 	17350 	17770 	18120 	17970 	17970 	18370 	19270 	19760 	20760 	21320 	22050 	20980 	21830 	21910 	21680 	21920 	22480 
A,CLV20_EUR_HAB,B1GQ,DE	34690 	35240 	35130 	34960 	35400 	35770 	37230 	38390 	38840 	36810 	38430 	39880 	40010 	40100 	40850 	41230 	41880 	42960 	43390 	43790 	42020 	43730 	44230 p	43450 p	43110 p	43210 p
A,CLV20_EUR_HAB,B1GQ,DK	47150 	47430 	47490 	47570 	48770 	49780 	51510 	51790 	51270 	48460 	49010 	49440 	49260 	49750 	50110 	50810 	51950 	53200 	53920 	54630 	53540 	56780 	56530 	56470 	58160 	59550 
A,CLV20_EUR_HAB,B1GQ,EA19	30330 	30890 	31010 	31060 	31610 	31990 	32900 	33700 	33670 	32070 	32660 	33150 	32770 	32660 	33090 	33690 	34200 	35030 	35570 	36050 	33840 	35990 	37110 	37040 	37210 	37610 
A,CLV20_EUR_HAB,B1GQ,EA20	30040 	30600 	30730 	30790 	31330 	31710 	32620 	33420 	33400 	31810 	32400 	32870 	32500 	32400 	32820 	33430 	33940 	34770 	35320 	35800 	33610 	35750 	36880 	36810 	36990 	37390 
A,CLV20_EUR_HAB,B1GQ,EA21	29420 	29990 	30130 	30200 	30740 	31130 	32030 	32830 	32820 	31260 	31850 	32330 	31980 	31890 	32310 	32920 	33440 	34270 	34820 	35310 	33160 	35280 	36400 	36340 	36530 	36940 
A,CLV20_EUR_HAB,B1GQ,EE	10480 	11160 	12020 	13010 	13980 	15400 	17010 	18400 	17510 	14980 	15380 	16590 	17260 	17630 	18280 	18650 	19190 	20270 	20970 	21650 	20960 	22670 	22370 	21210 	21060 	21250 
A,CLV20_EUR_HAB,B1GQ,EL	16120 	16780 	17510 	18480 	19420 	19590 	20790 	21470 	21420 	20490 	19300 	17420 	16050 p	15800 p	16030 p	16100 p	16160 p	16430 p	16810 p	17210 p	15660 p	17110 p	18160 p	18600 p	19020 p	19400 p
A,CLV20_EUR_HAB,B1GQ,ES	22930 	23700 	23970 	24220 	24590 	25000 	25600 	25990 	25760 	24590 	24510 	24260 	23560 	23310 	23730 	24720 	25420 	26110 	26620 	26930 	23850 	25440 	26820 	27150 p	27800 p	28320 p
A,CLV20_EUR_HAB,B1GQ,EU27_2020	25660 	26170 	26390 	26530 	27110 	27530 	28410 	29200 	29280 	27970 	28520 	29030 	28770 	28740 	29180 	29810 	30330 	31140 	31730 	32270 	30510 b	32470 	33420 	33400 	33650 	34100 
A,CLV20_EUR_HAB,B1GQ,FI	36230 	37100 	37630 	38300 	39720 	40680 	42150 	44210 	44350 	40570 	41660 	42460 	41620 	41020 	40650 	40700 	41640 	42910 	43360 	43910 	42740 	43800 	44010 	43280 	43110 	43010 
A,CLV20_EUR_HAB,B1GQ,FR	32030 	32400 	32510 	32600 	33300 	33680 	34360 	35010 	34960 	33800 	34310 	34990 	34880 	34990 	35150 	35370 	35540 	36140 	36570 	37160 	34280 	36470 	37320 	37760 p	38110 p	38330 p
A,CLV20_EUR_HAB,B1GQ,HR	8490 	9100 b	9620 	10150 	10570 	11020 	11570 	12160 	12400 	11570 	11440 	11470 	11270 b	11340 	11370 	11760 	12320 	12910 	13460 	14020 	12980 	14750 	15900 	16490 	17060 p	17540 p
A,CLV20_EUR_HAB,B1GQ,HU	8800 	9180 	9640 	10050 	10570 	11050 	11500 	11550 	11690 	10920 	11060 	11300 	11220 b	11490 	12040 	12530 	12880 	13460 	14240 	14980 	14370 	15470 	16160 	16050 	16210 	16370 p
A,CLV20_EUR_HAB,B1GQ,IE	39880 	41350 	43030 	43600 	45760 	47310 	48390 	49450 	46230 	43450 	43990 	44510 	44150 	44890 	48770 	60210 	60220 	65370 	69390 	71720 	75820 	87160 	91760 	87810 	88600 	97990 
A,CLV20_EUR_HAB,B1GQ,IS	43650 p	44720 p	44570 p	45270 p	48290 p	50880 p	52510 p	55670 p	55580 p	50780 p	50250 p	51310 p	51570 p	52880 p	53280 p	54760 p	57320 p	57910 p	59120 p	58770 p	54190 p	56150 p	59720 p	61170 p	59270 p	59200 p
A,CLV20_EUR_HAB,B1GQ,IT	31090 	31690 	31720 	31570 	31790 	31850 	32290 	32570 	31990 	30110 	30440 	30550 	29510 	28920 	28910 	29210 	29630 	30160 	30470 	30680 	28100 	30760 	32310 	32630 	32900 	33080 e
A,CLV20_EUR_HAB,B1GQ,LT	6550 	7030 	7560 	8430 	9080 	9940 	10850 	12190 	12640 	10880 	11160 	12140 	12830 	13480 	14100 	14630 	15200 	16090 	17030 	17870 	17890 	19040 	19350 	19220 	19690 	20260 
A,CLV20_EUR_HAB,B1GQ,LU	89790 	91530 	93470 	94720 	97390 	98260 	102580 	109100 	106870 	101540 	103430 	102120 	101440 	102010 	102250 	102530 	104920 	104020 	103640 	104310 	102190 	107570 	104100 	102250 	101000 	100380 p
A,CLV20_EUR_HAB,B1GQ,LV	6540 	7050 	7680 	8410 	9240 	10430 	11870 	13220 	12900 	11020 	10840 	11380 	12360 	12750 	13140 	13750 	14230 	14850 	15610 	15820 	15370 	16580 	16890 	16770 	16910 	17520 
A,CLV20_EUR_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	5610 	6000 	6400 	6010 	6160 	6360 	6190 	6390 	6530 	6690 	6910 	7120 	7460 	7780 	6610 	7500 	8100 	8620 	8890 	: 
A,CLV20_EUR_HAB,B1GQ,MK	: 	: 	: 	3370 e	3540 e	3720 e	3940 e	4210 e	4470 e	4480 e	4660 e	4800 e	4790 e	4950 e	5140 e	5360 e	5530 e	5610 e	5800 e	6070 e	5840 e	6170 e	6360 e	6540 e	6750 e	: 
A,CLV20_EUR_HAB,B1GQ,MT	17350 	16910 	17250 	17770 	17720 	18120 	18480 	19340 	20060 	19630 	20750 	20860 	21540 	22600 	23840 	25520 	25960 	28530 	29510 	29480 	27870 	31420 	31390 	33380 	34480 	35000 
A,CLV20_EUR_HAB,B1GQ,NL	40430 	41060 	40890 	40740 	41420 	42160 	43590 	45180 	45960 	44050 	44400 	44980 	44370 	44230 	44780 	45530 	46380 	47390 	48180 	48970 	46810 	49490 	51480 	50660 p	50870 p	51510 p
A,CLV20_EUR_HAB,B1GQ,NO	53820 	54700 	55210 	55480 	57540 	58860 	60040 	61460 	61200 	59450 	59310 	59350 	60230 	60260 	60840 	61450 	61700 	62850 	63130 	63630 	62400 	64640 	66670 	66140 	66460 	66740 
A,CLV20_EUR_HAB,B1GQ,PL	6950 	7040 	7180 	7440 	7820 	8080 	8590 	9170 	9570 	9810 	10150 b	10680 	10840 	10930 	11360 	11870 	12240 	12870 	13680 	14310 	14310 b	15380 	15840 b	15950 	16470 	17130 p
A,CLV20_EUR_HAB,B1GQ,PT	18580 	18810 	18850 	18600 	18890 	19000 	19280 	19720 	19760 	19120 	19440 	19110 	18410 	18330 	18560 	18920 	19350 	20020 	20620 	21150 	19360 	20390 	21690 	22130 	22370 p	22560 p
A,CLV20_EUR_HAB,B1GQ,RO	4810 	5060 	5530 	5690 	6320 	6650 	7230 	7870 	8740 	8330 	8050 	8460 	8660 	8710 	9100 	9430 	9760 	10620 	11260 	11760 	11390 	12130 	12690 	12970 	13090 p	13190 p
A,CLV20_EUR_HAB,B1GQ,RS	3670 	3930 	4190 	4390 	4700 	4990 	5200 	5630 	5950 	5790 	5900 	5950 	5950 	6010 	5930 	6040 	6250 	6430 	6770 	7130 	7110 	7740 	8160 	8510 p	8900 p	9140 e
A,CLV20_EUR_HAB,B1GQ,SE	37180 	37580 	38310 	38890 	40360 	41330 	42990 	44080 	43330 	41130 	43130 	44150 	43650 	43770 	44330 	45790 	46220 	46420 	46700 	47410 	46180 	48300 	48390 	47960 	48310 	48850 
A,CLV20_EUR_HAB,B1GQ,SI	15730 	16160 	16660 	17180 	17950 	18610 	19640 	20930 	21600 b	19770 	19920 	20010 	19390 	19210 	19720 	20170 	20770 	21830 	22720 	23330 	22230 	24040 	24660 	25120 	25480 	25680 
A,CLV20_EUR_HAB,B1GQ,SK	8730 	9020 b	9420 	9880 	10410 	11070 	12050 	13340 	14030 	13230 	14100 	14540 b	14750 	14830 	15220 	16000 	16280 	16730 	17380 	17760 	17270 	18320 b	18360 	18750 	19110 	19270 
A,CLV20_EUR_HAB,B1GQ,TR	4000 	3730 	3920 	4090 	4450 	4790 	5070 	5260 	5240 	4920 	5260 	5750 	5950 	6360 	6500 	6690 	6770 	7170 	7290 	7270 	7340 	8130 	8490 	8920 	9220 	: 
A,CLV_PCH_PRE_HAB,B1GQ,AL	8.2 	9.5 	4.9 	5.7 	5.7 	5.7 	6.7 	7.3 	7.7 	3.4 	3.5 	2.7 	1.2 	1.9 	2.5 	2.5 	4.1 	3.4 	3.9 	2.5 	-2.8 	10.0 	6.1 	: 	: 	: 
A,CLV_PCH_PRE_HAB,B1GQ,AT	2.9 	0.9 	1.0 	0.7 	1.9 	1.6 	2.7 	3.4 	1.1 	-3.8 	1.6 	2.6 	0.2 	-0.9 	0.0 	0.3 	0.8 	1.6 	2.0 	1.3 	-6.7 	4.5 	4.2 	-1.6 	-1.2 	0.3 
A,CLV_PCH_PRE_HAB,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	-0.7 	2.5 	1.3 	4.5 b	3.4 	3.5 	4.1 	3.0 	-2.6 	8.1 	4.8 	2.4 	3.5 	: 
A,CLV_PCH_PRE_HAB,B1GQ,BE	3.5 	0.8 	1.3 	0.6 	3.1 	1.8 	1.9 	2.9 	-0.3 	-2.7 b	1.8 	0.6 	-0.4 	-0.2 	1.3 	0.9 	0.7 	1.1 	1.4 	1.9 	-5.2 	5.8 	3.1 	0.9 	0.5 p	0.5 p
A,CLV_PCH_PRE_HAB,B1GQ,BG	5.1 	7.2 	6.5 	5.8 	7.1 	7.6 	7.4 	7.2 	6.6 	-2.9 	2.2 	4.7 	1.9 	0.9 	2.2 	4.7 	4.4 	4.1 	3.7 	5.3 	-2.2 	8.5 	4.8 	2.0 	3.5 	3.4 p
A,CLV_PCH_PRE_HAB,B1GQ,CH	3.1 	1.1 	-0.3 	-1.0 	1.9 	2.3 	3.5 	3.1 	1.3 	-3.0 	2.5 	0.5 	0.0 	0.7 	1.3 	0.2 	0.8 	0.5 	2.6 	0.4 	-3.0 	5.4 	2.7 	-0.7 	0.3 	0.4 
A,CLV_PCH_PRE_HAB,B1GQ,CY	4.9 	2.8 	2.5 	1.4 	3.6 	3.4 	3.0 	2.9 	1.1 	-4.6 	-0.4 	-2.1 	-4.7 	-6.5 	-1.7 	3.2 	6.0 	4.9 	5.1 	4.5 	-4.5 	9.7 	6.3 	1.6 	2.1 p	2.2 p
A,CLV_PCH_PRE_HAB,B1GQ,CZ	4.1 	3.4 	1.7 	3.3 	4.7 	6.1 	6.3 	4.9 	1.6 	-5.4 	2.5 	2.0 	-0.9 	0.0 	2.2 	4.9 	2.5 	5.1 	2.7 	3.4 	-4.9 	4.0 	0.4 	-1.0 	1.1 	2.6 
A,CLV_PCH_PRE_HAB,B1GQ,DE	2.8 	1.6 	-0.3 	-0.5 	1.3 	1.0 	4.1 	3.1 	1.2 	-5.2 	4.4 	3.8 	0.3 	0.2 	1.9 	0.9 	1.6 	2.6 	1.0 	0.9 	-4.0 	4.1 	1.2 p	-1.8 p	-0.8 p	0.2 p
A,CLV_PCH_PRE_HAB,B1GQ,DK	3.4 	0.6 	0.1 	0.2 	2.5 	2.1 	3.5 	0.5 	-1.0 	-5.5 	1.1 	0.9 	-0.4 	1.0 	0.7 	1.4 	2.2 	2.4 	1.4 	1.3 	-2.0 	6.1 	-0.4 	-0.1 	3.0 	2.4 
A,CLV_PCH_PRE_HAB,B1GQ,EA19	3.5 	1.8 	0.4 	0.2 	1.8 	1.2 	2.8 	2.4 	-0.1 	-4.7 	1.9 	1.5 	-1.1 	-0.3 	1.3 	1.8 	1.5 	2.4 	1.5 	1.3 	-6.1 	6.4 	3.1 	-0.2 	0.5 	1.1 
A,CLV_PCH_PRE_HAB,B1GQ,EA20	3.6 	1.9 	0.4 	0.2 	1.8 	1.2 	2.9 	2.5 	-0.1 	-4.8 	1.8 	1.5 	-1.1 	-0.3 	1.3 	1.9 	1.5 	2.4 	1.6 	1.4 	-6.1 	6.4 	3.1 	-0.2 	0.5 	1.1 
A,CLV_PCH_PRE_HAB,B1GQ,EA21	3.6 	2.0 	0.5 	0.2 	1.8 	1.3 	2.9 	2.5 	0.0 	-4.7 	1.9 	1.5 	-1.1 	-0.3 	1.3 	1.9 	1.6 	2.5 	1.6 	1.4 	-6.1 	6.4 	3.2 	-0.2 	0.5 	1.1 
A,CLV_PCH_PRE_HAB,B1GQ,EE	8.4 	6.5 	7.6 	8.2 	7.5 	10.1 	10.4 	8.2 	-4.8 	-14.5 	2.6 	7.9 	4.0 	2.1 	3.7 	2.0 	2.9 	5.7 	3.4 	3.3 	-3.2 	8.2 	-1.4 	-5.2 	-0.7 	0.9 
A,CLV_PCH_PRE_HAB,B1GQ,EL	3.7 	4.1 	4.3 	5.5 	5.1 	0.9 	6.1 	3.2 	-0.2 	-4.4 	-5.8 	-9.7 	-7.8 p	-1.6 p	1.5 p	0.4 p	0.4 p	1.7 p	2.3 p	2.4 p	-9.0 p	9.2 p	6.1 p	2.4 p	2.2 p	2.0 p
A,CLV_PCH_PRE_HAB,B1GQ,ES	4.7 	3.4 	1.1 	1.1 	1.5 	1.6 	2.4 	1.5 	-0.9 	-4.6 	-0.3 	-1.0 	-2.9 	-1.1 	1.8 	4.2 	2.8 	2.7 	1.9 	1.2 	-11.4 	6.7 	5.4 	1.3 p	2.4 p	1.9 p
A,CLV_PCH_PRE_HAB,B1GQ,EU27_2020	3.7 	2.0 	0.9 	0.5 	2.2 	1.6 	3.2 	2.8 	0.3 	-4.5 	2.0 	1.8 	-0.9 	-0.1 	1.5 	2.2 	1.7 	2.7 	1.9 	1.7 	-5.4 b	6.4 	2.9 	-0.1 	0.8 	1.3 
A,CLV_PCH_PRE_HAB,B1GQ,FI	5.5 	2.4 	1.4 	1.8 	3.7 	2.4 	3.6 	4.9 	0.3 	-8.5 	2.7 	1.9 	-2.0 	-1.4 	-0.9 	0.1 	2.3 	3.1 	1.0 	1.3 	-2.7 	2.5 	0.5 	-1.7 	-0.4 	-0.2 
A,CLV_PCH_PRE_HAB,B1GQ,FR	3.4 	1.2 	0.3 	0.3 	2.1 	1.1 	2.0 	1.9 	-0.2 	-3.3 	1.5 	2.0 	-0.3 	0.3 	0.5 	0.6 	0.5 	1.7 	1.2 	1.6 	-7.8 	6.4 	2.3 	1.2 p	0.9 p	0.6 p
A,CLV_PCH_PRE_HAB,B1GQ,HR	4.0 	7.1 b	5.7 	5.6 	4.1 	4.2 	5.0 	5.1 	2.0 	-6.7 	-1.1 	0.2 	-1.7 b	0.6 	0.3 	3.4 	4.8 	4.8 	4.3 	4.1 	-7.4 	13.6 	7.8 	3.7 	3.5 p	2.8 p
A,CLV_PCH_PRE_HAB,B1GQ,HU	4.7 	4.3 	5.0 	4.2 	5.2 	4.5 	4.1 	0.5 	1.2 	-6.6 	1.3 	2.2 	-0.8 b	2.5 	4.8 	4.0 	2.8 	4.5 	5.8 	5.2 	-4.1 	7.7 	4.4 	-0.7 	1.0 	1.0 p
A,CLV_PCH_PRE_HAB,B1GQ,IE	8.0 	3.7 	4.1 	1.3 	4.9 	3.4 	2.3 	2.2 	-6.5 	-6.0 	1.2 	1.2 	-0.8 	1.7 	8.6 	23.5 	0.0 	8.5 	6.2 	3.3 	5.7 	14.9 	5.3 	-4.3 	0.9 	10.6 
A,CLV_PCH_PRE_HAB,B1GQ,IS	3.5 p	2.5 p	-0.3 p	1.6 p	6.7 p	5.4 p	3.2 p	6.0 p	-0.2 p	-8.6 p	-1.0 p	2.1 p	0.5 p	2.5 p	0.8 p	2.8 p	4.7 p	1.0 p	2.1 p	-0.6 p	-7.8 p	3.6 p	6.4 p	2.4 p	-3.1 p	-0.1 p
A,CLV_PCH_PRE_HAB,B1GQ,IT	3.8 	1.9 	0.1 	-0.5 	0.7 	0.2 	1.4 	0.8 	-1.8 	-5.9 	1.1 	0.3 	-3.4 	-2.0 	0.0 	1.0 	1.4 	1.8 	1.0 	0.7 	-8.4 	9.5 	5.0 	1.0 	0.8 	0.6 e
A,CLV_PCH_PRE_HAB,B1GQ,LT	4.1 	7.4 	7.6 	11.5 	7.7 	9.5 	9.1 	12.4 	3.7 	-13.9 	2.6 	8.8 	5.7 	5.0 	4.6 	3.8 	3.9 	5.9 	5.8 	5.0 	0.1 	6.5 	1.6 	-0.7 	2.4 	2.9 
A,CLV_PCH_PRE_HAB,B1GQ,LU	5.6 	1.9 	2.1 	1.3 	2.8 	0.9 	4.4 	6.4 	-2.0 	-5.0 	1.9 	-1.3 	-0.7 	0.6 	0.2 	0.3 	2.3 	-0.9 	-0.4 	0.6 	-2.0 	5.3 	-3.2 	-1.8 	-1.2 	-0.6 p
A,CLV_PCH_PRE_HAB,B1GQ,LV	6.8 	7.8 	8.9 	9.5 	9.9 	12.8 	13.8 	11.3 	-2.4 	-14.6 	-1.6 	5.0 	8.6 	3.2 	3.0 	4.7 	3.5 	4.4 	5.1 	1.4 	-2.8 	7.9 	1.8 	-0.7 	0.9 	3.6 
A,CLV_PCH_PRE_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	7.0 	6.7 	-6.2 	2.6 	3.3 	-2.7 	3.2 	2.2 	2.4 	3.3 	3.1 	4.7 	4.3 	-15.0 	13.3 	8.0 	6.5 	3.2 	: 
A,CLV_PCH_PRE_HAB,B1GQ,MK	: 	-3.5 e	2.2 e	2.1 e	5.0 e	5.3 e	5.7 e	7.1 e	6.1 e	0.3 e	4.0 e	2.8 e	-0.1 e	3.3 e	3.9 e	4.1 e	3.2 e	1.5 e	3.4 e	4.6 e	-3.8 e	5.8 e	3.1 e	2.8 e	3.2 e	: 
A,CLV_PCH_PRE_HAB,B1GQ,MT	: 	-2.5 	2.0 	3.0 	-0.3 	2.2 	2.0 	4.7 	3.7 	-2.1 	5.7 	0.6 	3.3 	4.9 	5.5 	7.0 	1.7 	9.9 	3.4 	-0.1 	-5.5 	12.7 	-0.1 	6.3 	3.3 	1.5 
A,CLV_PCH_PRE_HAB,B1GQ,NL	3.5 	1.6 	-0.4 	-0.4 	1.7 	1.8 	3.4 	3.7 	1.7 	-4.2 	0.8 	1.3 	-1.3 	-0.3 	1.2 	1.7 	1.9 	2.2 	1.7 	1.6 	-4.4 	5.7 	4.0 	-1.6 p	0.4 p	1.3 p
A,CLV_PCH_PRE_HAB,B1GQ,NO	2.8 	1.6 	0.9 	0.5 	3.7 	2.3 	2.0 	2.4 	-0.4 	-2.9 	-0.2 	0.1 	1.5 	0.1 	1.0 	1.0 	0.4 	1.9 	0.4 	0.8 	-1.9 	3.6 	3.1 	-0.8 	0.5 	0.4 
A,CLV_PCH_PRE_HAB,B1GQ,PL	4.7 	1.2 	2.0 	3.6 	5.1 	3.3 	6.3 	6.8 	4.4 	2.5 	3.5 b	5.2 	1.5 	0.8 	4.0 	4.5 	3.1 	5.1 	6.3 	4.6 	0.0 b	7.5 	3.0 b	0.6 	3.3 	4.0 p
A,CLV_PCH_PRE_HAB,B1GQ,PT	3.1 	1.2 	0.2 	-1.3 	1.5 	0.6 	1.4 	2.3 	0.2 	-3.2 	1.7 	-1.7 	-3.7 	-0.4 	1.3 	2.0 	2.3 	3.5 	3.0 	2.5 	-8.5 	5.3 	6.4 	2.0 	1.1 p	0.8 p
A,CLV_PCH_PRE_HAB,B1GQ,RO	2.6 	5.3 	9.3 	2.8 	11.1 	5.3 	8.7 	8.8 	11.1 	-4.7 	-3.3 	5.0 	2.3 	0.6 	4.5 	3.6 	3.5 	8.8 	6.0 	4.4 	-3.1 	6.4 	4.7 	2.2 	0.9 p	0.8 p
A,CLV_PCH_PRE_HAB,B1GQ,RS	6.4 	7.0 	6.6 	4.8 	6.9 	6.2 	4.3 	8.3 	5.6 	-2.8 	2.0 	0.8 	0.0 	0.9 	-1.3 	1.8 	3.5 	2.9 	5.2 	5.3 	-0.3 	9.0 	5.3 	4.4 p	4.5 p	2.6 e
A,CLV_PCH_PRE_HAB,B1GQ,SE	4.5 	1.1 	1.9 	1.5 	3.8 	2.4 	4.0 	2.5 	-1.7 	-5.1 	4.8 	2.4 	-1.1 	0.3 	1.3 	3.3 	0.9 	0.4 	0.6 	1.5 	-2.6 	4.6 	0.2 	-0.9 	0.7 	1.1 
A,CLV_PCH_PRE_HAB,B1GQ,SI	3.2 	2.7 	3.1 	3.1 	4.5 	3.7 	5.5 	6.6 	3.2 b	-8.5 	0.8 	0.5 	-3.1 	-1.0 	2.7 	2.3 	3.0 	5.1 	4.1 	2.7 	-4.7 	8.2 	2.6 	1.8 	1.4 	0.8 
A,CLV_PCH_PRE_HAB,B1GQ,SK	0.7 	3.3 b	4.4 	4.8 	5.3 	6.4 	8.8 	10.7 	5.2 	-5.7 	6.6 	3.2 b	1.4 	0.6 	2.6 	5.1 	1.8 	2.7 	3.9 	2.1 	-2.7 	6.0 b	0.2 	2.1 	1.9 	0.9 
A,CLV_PCH_PRE_HAB,B1GQ,TR	5.5 	-6.8 	5.1 	4.5 	8.6 	7.8 	5.7 	3.8 	-0.3 	-6.2 	6.9 	9.4 	3.5 	6.9 	2.2 	2.9 	1.2 	5.9 	1.6 	-0.2 	0.9 	10.7 	4.5 	5.0 	3.4 	: 
A,CLV_PCH_PRE_HAB,B1GQ,UK	3.2 	2.3 	1.7 	2.9 	1.8 	2.2 	2.0 	1.5 	-1.1 	-4.8 	1.3 	0.4 	0.8 	1.5 	2.1 	1.6 	0.9 	1.1 	0.6 	0.8 	: 	: 	: 	: 	: 	: 
